division_id,identifier,position,abstract,date
ocd-division/country:ca/csd:3519036,12-64,64,"<p>This is in response to <a href=""/wps/wcm/connect/markhampublic/b42c2155-d24c-4054-8d82-aa597827e690/Interim-Order-MO-3176-I_20150330.pdf?MOD=AJPERES&amp;CACHEID=b42c2155-d24c-4054-8d82-aa597827e690"">IPC Interim Order # MO-3176-1</a> [PDF] and <a href=""/wps/wcm/connect/markhampublic/b3faf67e-309b-411f-ad2c-379dd67fc83e/Interim-Order-MO-3248-I_20150930.pdf?MOD=AJPERES&amp;CACHEID=b3faf67e-309b-411f-ad2c-379dd67fc83e"">IPC Interim Order # MO-3248-1</a> [PDF] for disclosure of documents related to the construction of an arena in the City of Markham. Per the Interim Orders the following documents have been released:</p><ul><li><a href=""/wps/wcm/connect/markhampublic/01b8f8f4-2c79-4d5f-b543-72b53e0205fb/12-64_Record1_201101.pdf?MOD=AJPERES&amp;CACHEID=01b8f8f4-2c79-4d5f-b543-72b53e0205fb"">12-64 Record #1 January 2011</a> [PDF]</li><li><a href=""/wps/wcm/connect/markhampublic/241ca7c0-4728-422b-9d54-bc120d1db575/12-64_Record2_201101.pdf?MOD=AJPERES&amp;CACHEID=241ca7c0-4728-422b-9d54-bc120d1db575"">12-64 Record #2 January 2011</a> [PDF]</li><li><a href=""/wps/wcm/connect/markhampublic/0e7fffd1-343a-4c60-8013-bdba1897ab5d/201202-MSECC-BDR-Opinion-Letter.pdf?MOD=AJPERES&amp;CACHEID=0e7fffd1-343a-4c60-8013-bdba1897ab5d"">12-64 Record #3 February 2012</a> [PDF]</li><li><a href=""/wps/wcm/connect/markhampublic/962765ba-49d0-46b0-a2ef-9215052d6ec9/20120412-MSECC-Financial-Framework.pdf?MOD=AJPERES&amp;CACHEID=962765ba-49d0-46b0-a2ef-9215052d6ec9"">12-64 Record #4 April 2012</a> [PDF]</li></ul>",2015-10-01/2015-12-01
ocd-division/country:ca/csd:3519036,13-15,15,"<p>This is in response to <a href=""/wps/wcm/connect/markhampublic/60aec0d2-2bd8-4fb0-937f-575b77773f32/Interim-Order-MO-3177-I_20150330.pdf?MOD=AJPERES&amp;CACHEID=60aec0d2-2bd8-4fb0-937f-575b77773f32"">IPC Interim Order #MO-3177-1</a> [PDF] for disclosure of documents related to the construction of an arena in the City of Markham.</p><ul><li><a href=""/wps/wcm/connect/markhampublic/76b35cf1-7353-4f3e-a3a2-41847891c152/FOI-13-15-Rec3.pdf?MOD=AJPERES&amp;CACHEID=76b35cf1-7353-4f3e-a3a2-41847891c152"">FOI 13-15 Redacted Record #3</a> [PDF]</li><li><a href=""/wps/wcm/connect/markhampublic/2c1098cc-a35d-4297-91e8-5bb0ef7ea493/FOI-13-15-Rec5.pdf?MOD=AJPERES&amp;CACHEID=2c1098cc-a35d-4297-91e8-5bb0ef7ea493"">FOI 13-15 Record #5</a> [PDF]</li></ul>",2015-10-01/2015-12-01
